,timestamp,visitorid,event,itemid,transactionid
0,1433221332117,257597,view,355908,
1,1433224214164,992329,view,248676,
2,1433221999827,111016,view,318965,
3,1433221955914,483717,view,253185,
4,1433221337106,951259,view,367447,
5,1433224086234,972639,view,22556,
6,1433221923240,810725,view,443030,
7,1433223291897,794181,view,439202,
8,1433220899221,824915,view,428805,
9,1433221204592,339335,view,82389,
10,1433222162373,176446,view,10572,
11,1433221701252,929206,view,410676,
12,1433224229496,15795,view,44872,
13,1433223697356,598426,view,156489,
14,1433224078165,223343,view,402625,
15,1433222531378,57036,view,334662,
16,1433223239808,1377281,view,251467,
17,1433223236124,287857,addtocart,5206,
18,1433224244282,1370216,view,176721,
19,1433221078505,158090,addtocart,10572,
20,1433224070841,1398644,view,135256,
21,1433224252461,653756,view,132316,
22,1433221274809,1213673,view,343861,
23,1433221275206,864246,view,36642,
24,1433223203944,125625,view,17655,
25,1433224683817,608100,view,187722,
26,1433221373311,781127,view,21989,
27,1433222147345,1076270,view,262799,
28,1433224554732,453474,view,250696,
29,1433221377547,1153198,view,388242,
30,1433224266445,273888,view,205392,
31,1433221380636,849453,view,123990,
32,1433221018375,487887,view,345560,
33,1433223176926,629333,view,128394,
34,1433222143427,1130165,view,45337,
35,1433224644638,361387,view,43485,
36,1433223643340,112175,view,430845,
37,1433223471170,860082,view,22926,
38,1433223159620,784669,view,181743,
39,1433222438241,1061147,view,280893,
40,1433224056696,485456,view,216707,
41,1433221622167,1342963,view,306886,
42,1433223776925,969887,view,159780,
43,1433223148655,759369,view,386527,
44,1433223146605,1282360,view,106564,
45,1433221051265,233317,view,75994,
46,1433223785793,392042,view,280375,
47,1433221172079,591038,view,367500,
48,1433223138106,692195,view,112792,
49,1433223574540,432882,view,102061,
50,1433223790254,392042,view,16813,
51,1433223131380,808133,view,128499,
52,1433221169402,180680,view,456784,
53,1433224050320,1151716,view,427725,
54,1433222134037,597724,view,134264,
55,1433220944616,179437,view,335975,
56,1433221087074,794013,view,51354,
57,1433222365385,975530,view,55555,
58,1433223102457,741702,view,350819,
59,1433221411595,1219180,view,422768,
60,1433222561588,1143908,view,417464,
61,1433223360663,1078178,view,323147,
62,1433224303386,503970,view,448136,
63,1433223543021,1193904,addtocart,255275,
64,1433224041294,376913,view,140848,
65,1433223076406,1262470,view,102986,
66,1433221422147,1153198,view,357579,
67,1433222366959,238317,view,348196,
68,1433223067576,800456,view,31514,
69,1433222031235,1219627,view,292444,
70,1433221152282,526166,view,332761,
71,1433221092368,685949,view,395002,
72,1433223447924,860082,view,415437,
73,1433221149711,721839,view,391289,
74,1433224324329,635011,view,142075,
75,1433222571026,293285,view,288868,
76,1433223854839,21004,view,181142,
77,1433223855932,1179587,view,367797,
78,1433222424790,1059530,view,302509,
79,1433224145724,854656,view,87947,
80,1433223587786,77112,view,97879,
81,1433224666941,557587,view,131882,
82,1433223862777,83034,view,255833,
83,1433221237091,233317,view,75994,
84,1433223866018,993954,view,227935,
85,1433223866632,1045426,view,69533,
86,1433222046974,428642,view,359747,
87,1433223879629,15795,view,81075,
88,1433221139773,97140,view,257675,
89,1433224498209,970474,view,324543,
90,1433221138230,97140,view,328025,
91,1433224344626,138674,view,202719,
92,1433222980695,1045633,view,372688,
93,1433224471042,202383,view,261865,
94,1433224754197,1109336,view,431148,
95,1433221135245,320957,view,102131,
96,1433223900862,132736,view,67627,
97,1433224352539,282587,view,78037,
98,1433222949983,901571,view,458588,
99,1433222949347,442035,view,75006,
100,1433221468563,881338,view,24431,
101,1433222946463,789114,view,412312,
102,1433222103817,1096028,view,337686,
103,1433222942281,1269628,view,137305,
104,1433222930873,428642,view,167337,
105,1433220897977,1217827,view,203231,
106,1433221123646,1076270,view,269430,
107,1433224370656,1137444,view,308053,
108,1433221776140,1254314,view,202373,
109,1433221974779,870742,view,456005,
110,1433221740333,712443,view,346655,
111,1433224464446,513527,view,227437,
112,1433221941632,599528,addtocart,356475,
113,1433222595153,1341619,view,77884,
114,1433222897013,492414,view,279976,
115,1433220908194,824915,view,25427,
116,1433222894011,248805,view,347194,
117,1433223952336,1263264,view,46097,
118,1433224782317,239546,view,42002,
119,1433222409338,506289,view,131383,
120,1433222877292,432824,view,221347,
121,1433222876482,8287,view,459752,
122,1433223968687,338231,view,141264,
123,1433222088855,398762,view,21886,
124,1433224388360,625389,view,316135,
125,1433222860128,428642,view,190172,
126,1433221108142,911380,view,28540,
127,1433222605362,326029,view,455763,
128,1433221107378,357556,view,13091,
129,1433224396283,536254,view,267839,
130,1433222276276,599528,transaction,356475,4000.0
131,1433221512084,1124962,view,213464,
132,1433221512427,1402325,view,20889,
133,1433222824444,930371,view,160161,
134,1433222820149,1304277,view,341548,
135,1433222291999,428642,view,7438,
136,1433221689977,456697,view,398579,
137,1433221523348,1118731,view,350689,
138,1433220912321,390868,view,432330,
139,1433221229122,1004326,view,432925,
140,1433222793547,761633,view,432152,
141,1433221525635,952604,view,466861,
142,1433221526354,849453,view,423120,
143,1433222790079,75249,view,283146,
144,1433224416053,1028478,view,438681,
145,1433223636836,77112,view,146700,
146,1433221724640,448895,view,322930,
147,1433220872479,736627,view,98498,
148,1433222772343,301980,view,288280,
149,1433221718235,1316756,view,303619,
150,1433221835749,346219,view,37945,
151,1433222623158,402205,view,46130,
152,1433224733131,949379,view,310791,
153,1433224435371,170060,view,213570,
154,1433221686200,1249248,view,422425,
155,1433221998234,265788,view,10620,
156,1433220966569,424164,view,397256,
157,1433222181172,1229852,view,389644,
158,1433223376533,1241483,view,298868,
159,1433220965740,132864,view,386146,
160,1433222721345,1384997,view,134458,
161,1433223622608,177820,view,244504,
162,1433222719578,1107507,view,444338,
163,1433222341342,497111,view,367617,
164,1433222646781,529601,view,161166,
165,1433221558611,1386874,view,261320,
166,1433221690620,126887,view,413990,
167,1433222057888,125625,view,25071,
168,1433221585010,1153198,view,388242,
169,1433222500605,122629,view,256368,
170,1433222492114,231733,view,324624,
171,1433221846073,870742,view,234255,
172,1433222012357,266709,view,190545,
173,1433222482735,208393,view,268266,
174,1433221650063,589997,view,110122,
175,1433223651491,800456,view,394254,
176,1433221038433,1100013,view,40596,
177,1433223502068,77112,view,38483,
178,1433224523363,1044534,view,272187,
179,1433220880956,105775,addtocart,312728,
180,1433192344441,676969,view,276704,
181,1433194613963,547051,view,184199,
182,1433193581950,198036,view,337335,
183,1433193799250,986452,view,429607,
184,1433192259223,1044315,view,325262,
185,1433193024992,249113,view,425726,
186,1433193362097,672710,view,161346,
187,1433193080618,824778,view,285173,
188,1433194060639,79247,view,458894,
189,1433192997501,1143402,view,272446,
190,1433191691541,178282,view,449010,
191,1433192144515,733007,view,188148,
192,1433193614579,948586,view,402236,
193,1433192321718,752818,view,43391,
194,1433193990704,85734,view,331725,
195,1433194504129,1323080,view,71957,
196,1433193535886,820159,view,369447,
197,1433193595554,927479,view,201940,
198,1433193798367,463621,view,372845,
199,1433192866366,290549,view,72611,
200,1433194408687,937632,view,260581,
201,1433192651984,511064,view,354042,
202,1433194473728,998406,view,33638,
203,1433192750383,1057088,view,334432,
204,1433193383427,550788,view,440180,
205,1433193860477,804607,view,459761,
206,1433192938939,1242160,view,385376,
207,1433194739377,256542,view,336552,
208,1433193490116,668712,view,291770,
209,1433194237764,227335,view,443967,
210,1433192401521,457237,view,234185,
211,1433194177067,1185234,view,154912,
212,1433193887272,1046168,view,86238,
213,1433194498623,85734,view,122834,
214,1433192067753,121688,view,282803,
215,1433194607083,939182,view,48743,
216,1433192584970,951557,view,138439,
217,1433193877348,73449,view,54008,
218,1433194239109,1075043,view,178496,
219,1433191842944,832459,view,458265,
220,1433194920972,192487,view,170751,
221,1433194439583,435847,view,2263,
222,1433194511438,1202062,view,59776,
223,1433193848420,812748,view,14671,
224,1433194516775,131086,view,402110,
225,1433194372591,609410,view,207825,
226,1433193003719,855825,view,460643,
227,1433191793118,15613,view,237422,
228,1433194045795,110877,view,336855,
229,1433193796802,1294366,view,204785,
230,1433191554639,421206,view,392392,
231,1433193477485,948586,view,164109,
232,1433193526308,765834,view,179601,
233,1433194772167,330834,view,134118,
234,1433193872161,1294366,view,106279,
235,1433193979951,1328894,view,43101,
236,1433191548267,742458,view,250212,
237,1433194844501,192487,view,153935,
238,1433194772089,1370178,view,253175,
239,1433192202594,425516,view,466472,
240,1433193860039,1173577,view,106874,
241,1433193131854,1102723,view,280375,
242,1433193323906,1055632,view,316753,
243,1433193207640,628886,view,105274,
244,1433193312720,861030,view,59866,
245,1433193196949,11598,view,62549,
246,1433192145627,303145,view,32971,
247,1433192570930,944943,view,426007,
248,1433191616183,260599,view,86238,
249,1433194481906,1188336,view,216095,
250,1433193463474,1317317,view,14159,
